substance,frequency,suggested_category,suggested_distance_m,notes
Lossepladsperkolat,356,,,
Asbeststøv,49,,,
PCB,15,,,
Volumen,15,,,
DEIA,12,,,
DEHP,10,,,
Saccharin,9,,,
Ethylenthiourea,6,,,
"Hydrocarbon., C8-C15",6,,,
"Carbon,org,NVOC",6,,,
Overfladeaktivestof.,6,,,
Detergenter anion,5,,,
"Chlor,total",3,,,
6:2 FTS incl precursor,3,,,
"Anioner, total",2,,,
Detergenter nonion,2,,,
1-Naphthol,1,,,
